m,k,n,latency_us,mfu
64,2048,4096,18.878,0.182299
128,2048,4096,23.603,0.291617
256,2048,4096,45.157,0.304843
512,2048,4096,57.895,0.47555
1024,2048,4096,90.216,0.610355
2048,2048,4096,164.765,0.66839
4096,2048,4096,317.185,0.694405
8192,2048,4096,617.12,0.713814
16384,2048,4096,1291.87,0.681972
32768,2048,4096,2639.767,0.667498
1,2048,8192,29.884,0.003599
2,2048,8192,30.75,0.006995
4,2048,8192,31.026,0.013865
8,2048,8192,31.102,0.027663
16,2048,8192,31.56,0.054522
32,2048,8192,31.868,0.107992
64,2048,8192,34.721,0.198236
128,2048,8192,43.342,0.317611
256,2048,8192,81.502,0.337807
512,2048,8192,110.261,0.499392
1024,2048,8192,170.843,0.644613
2048,2048,8192,298.866,0.736967
4096,2048,8192,673.915,0.653657
8192,2048,8192,1198.496,0.735104
16384,2048,8192,2555.193,0.689591
32768,2048,8192,5006.381,0.703917
1,2048,14336,60.013,0.003136
2,2048,14336,63.215,0.005954
4,2048,14336,63.725,0.011814
8,2048,14336,63.872,0.023573
16,2048,14336,63.861,0.047154
32,2048,14336,57.775,0.104243
64,2048,14336,58.945,0.204346
128,2048,14336,71.105,0.338801
256,2048,14336,97.939,0.491946
512,2048,14336,152.558,0.631638
1024,2048,14336,310.835,0.620017
2048,2048,14336,593.893,0.649015
4096,2048,14336,983.528,0.783802
8192,2048,14336,2039.879,0.755821
16384,2048,14336,4594.493,0.671144
32768,2048,14336,8878.25,0.694634
1,2048,131072,385.697,0.004461
2,2048,131072,385.804,0.00892
4,2048,131072,388.74,0.017706
8,2048,131072,391.396,0.035171
16,2048,131072,397.156,0.069323
32,2048,131072,407.212,0.135221
64,2048,131072,414.569,0.265643
128,2048,131072,445.755,0.494117
256,2048,131072,591.606,0.744599
512,2048,131072,1181.897,0.745428
1024,2048,131072,2363.315,0.745579
2048,2048,131072,4612.864,0.763967
4096,2048,131072,9208.809,0.765371
8192,2048,131072,18455.592,0.763796
16384,2048,131072,36762.562,0.766884
32768,2048,131072,73525.366,0.766881
1,4096,128,19.887,0.000169
2,4096,128,20.553,0.000327
4,4096,128,23.374,0.000575
8,4096,128,22.986,0.00117
16,4096,128,22.529,0.002387
32,4096,128,22.031,0.004882
64,4096,128,23.118,0.009304
128,4096,128,22.589,0.019044
256,4096,128,23.001,0.037406
512,4096,128,21.583,0.079728
1024,4096,128,21.576,0.159504
2048,4096,128,31.678,0.217278
4096,4096,128,45.848,0.300254
8192,4096,128,87.227,0.315635
16384,4096,128,139.632,0.394347
32768,4096,128,250.449,0.43972
1,4096,256,16.847,0.000399
2,4096,256,22.274,0.000604
4,4096,256,22.311,0.001205
8,4096,256,22.856,0.002353
16,4096,256,22.371,0.004807
32,4096,256,22.336,0.00963
64,4096,256,22.431,0.019178
128,4096,256,23.143,0.037176
256,4096,256,22.466,0.076592
512,4096,256,21.658,0.158903
1024,4096,256,23.738,0.289951
2048,4096,256,35.86,0.383876
4096,4096,256,54.821,0.502216
8192,4096,256,103.516,0.531932
16384,4096,256,191.293,0.5757
32768,4096,256,307.464,0.716359
1,4096,512,18.763,0.000716
2,4096,512,23.202,0.001159
4,4096,512,22.423,0.002398
8,4096,512,22.664,0.004745
16,4096,512,22.856,0.009411
32,4096,512,22.587,0.019045
64,4096,512,22.296,0.038589
128,4096,512,22.193,0.077535
256,4096,512,21.717,0.158469
512,4096,512,23.598,0.291671
1024,4096,512,33.197,0.414678
2048,4096,512,52.547,0.523946
4096,4096,512,91.23,0.603568
8192,4096,512,152.827,0.720602
16384,4096,512,288.092,0.76453
32768,4096,512,532.734,0.826884
1,4096,1024,18.543,0.00145
2,4096,1024,23.045,0.002333
4,4096,1024,22.899,0.004696
8,4096,1024,22.793,0.009437
16,4096,1024,22.702,0.01895
32,4096,1024,21.488,0.04004
64,4096,1024,22.039,0.078076
128,4096,1024,22.282,0.15445
256,4096,1024,24.759,0.278001
512,4096,1024,36.591,0.376215
1024,4096,1024,48.574,0.566805
2048,4096,1024,103.889,0.530024
4096,4096,1024,153.156,0.719051
8192,4096,1024,277.157,0.794693
16384,4096,1024,562.475,0.783163
32768,4096,1024,1126.751,0.781911
1,4096,2048,20.34,0.002644
2,4096,2048,23.484,0.00458
4,4096,2048,23.039,0.009336
8,4096,2048,23.309,0.018456
16,4096,2048,22.377,0.038449
32,4096,2048,22.036,0.078087
64,4096,2048,24.929,0.138049
128,4096,2048,27.391,0.251284
256,4096,2048,38.575,0.356863
512,4096,2048,73.94,0.372351
1024,4096,2048,92.434,0.595708
2048,4096,2048,162.319,0.678462
