b1,b2,m,k,n,latency_us,mfu
1,16,512,512,1024,57.45,0.47923
1,16,1024,512,1024,98.253,0.560429
1,16,2048,512,1024,157.694,0.698361
1,16,4096,512,1024,303.529,0.725646
1,16,1,512,2048,28.193,0.003815
1,16,2,512,2048,30.716,0.007003
1,16,4,512,2048,30.663,0.01403
1,16,8,512,2048,31.657,0.027178
1,16,16,512,2048,33.408,0.051507
1,16,32,512,2048,35.354,0.097343
1,16,64,512,2048,40.842,0.168528
1,16,128,512,2048,51.203,0.268852
1,16,256,512,2048,59.687,0.461271
1,16,512,512,2048,99.888,0.551257
1,16,1024,512,2048,181.01,0.608405
1,16,2048,512,2048,299.327,0.735832
1,16,4096,512,2048,579.027,0.760775
1,16,1,512,4096,58.367,0.003685
1,16,2,512,4096,60.714,0.007085
1,16,4,512,4096,61.12,0.014077
